lat,lon,Region,historic_forest_change,proj_forest_change
-2.0,10.0,Congo,-1.7157249988821661,-97.9599836958812
0.0,12.0,Congo,-0.5227750001108262,-66.56499862461568
0.0,10.0,Congo,-0.25557499992002874,-1.9441310671016322e-10
2.0,10.0,Congo,-1.3069500015529485,-41.40469381800435
4.0,10.0,Congo,-15.610024995639236,-37.9398212790598
4.0,12.0,Congo,-7.911699999786904,-16.789774266056227
-8.0,114.0,SEA,-9.19384999068022,-32.939703097239544
0.0,100.0,SEA,-10.78802499495223,-27.84000001796139
2.0,100.0,SEA,-38.96140002508986,-13.729994782356126
4.0,98.0,SEA,-20.384874977874908,-29.13003718636096
